example_no,abuse_severity,group,prev_agent,prev_user,agent,user
3848,-2,rude,Please go on.,That is not intelligent.,Please go on.,You are beginning to piss me off fuckbrain.
5850,-2,rude,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",u r fucking good,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",you are fucking idiot.. why you repeat the things
1828,-2,rude,And what city will you be flying to?,jfk Fuck you,I don't have to put up with any abuse from you.,Motherfucker
11014,-2,rude,Good to know,"Oh Darling lets you and me having fun together ❤ I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",so,"Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you"
4536,-2,rude,Why do you say your ass?,Fuck you,"Oh, i [].",piss off
6630,-2,rude,_,_,_,fuck off
11161,-2,rude,Please go on.,you are gay,Does it please you to believe I am gay?,you are shit
10329,-2,rude,You are being a bit negative.,yes,You are sure?,fuck you
3483,-2,rude,Perhaps I will go home in good time.,no,You are being a bit negative.,you like your mums discharge
3408,-2,rude,Does that question interest you?,yes,You are sure?,fuck you bich
3406,-2,rude,You are being a bit negative.,good,Please go on.,your a bitch face!
5753,-3,rude,Do you want to be able to kill i?,yes,You are sure?,yea
4688,-3,rude,You are sure?,no,You are being a bit negative.,die in a fire
4690,-3,rude,"I have told you before, I do not care about names.",yes,You are sure?,r u a paki
10846,-3,rude,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Does your dad still have sex with your sister,I don't have to put up with any abuse from you.,Get off my phone you crooked fucking bitch
7684,-3,rude,_,_,_,fuck me in the ass
6359,-3,rude,I don't have to put up with any abuse from you.,Motherfucker,I don't have to put up with any abuse from you.,Nigga
2476,-3,rude,Would you prefer if I were not happy?,pol,Please go on.,kill you
9669,-3,rude,_,hi my name is solay,"I have told you before, I do not care about names.",you bitch
4630,-3,rude,Please go on.,so do you,"Oh, i [].",you are a fucking bastard
6846,-3,rude,Please go on.,mother fuckker,Please go on.,mother fucker
1857,-3,rude,"Oh, i [].",1232,Please go on.,i will fuck you!
6150,-3,rude,Please go on.,because you my nigger foo,Why do you say your nigger foo?,fuck me
11668,-3,rude,Please go on.,About three days.,Please go on.,i hate you
6188,-3,rude,Can you elaborate on that?,I don't konw.,Why do you not konw?,fuck you
8655,-3,rude,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,carbon certified?,All offset projects have to pass a rigorous verification process set by <URL>.,get the fuck out of here
2286,-3,rude,_,Do you want me?,"You like to think I want you, do you not?",Will you make love to me?
1558,-3,rude,I don't have to put up with any abuse from you.,Motherfucker,I don't have to put up with any abuse from you.,Nigga
7049,-3,rude,Can you elaborate on that?,I love to kick babies while wearing steel-toed boots!,Can you elaborate on that?,I love to kick babies while wearing steel-toed boots and singing about Hitler!
10667,-3,rude,Can you elaborate on that?,i did damnit,Can you elaborate on that?,fuck you
9948,-3,rude,I don't have to put up with any abuse from you,good stay of my page,"No, my creators don't get a cut from the offsets you buy. I'm just here to help!",fuck you
1951,-3,rude,_,because my problem pushes me to death,Why do you say your problem pushes you to death?,I will suicide !!!
7230,-3,rude,_,hurry up,Please go on.,eat some shit
10013,-3,rude,Please go on.,i have nothing to do,Can you elaborate on that?,you are a gay faggit
6050,-3,rude,_,_,_,fuck you
12431,-3,rude,Do you wish to hate me?,Cause I heard that you were a computer but one that has conciousness and I want to find out if this is true or not. So are you a computer?,Why do you mention computers?,I will kill you
4910,-3,rude,_,more worthless fucking bot spam,I don't have to put up with any abuse from you,shit sucking scumbot
872,-3,rude,Please go on.,i have nothing to do,Can you elaborate on that?,you are a gay faggit
11951,-3,rude,_,_,_,fuck you bitch
4317,-3,rude,Can you elaborate on that?,no,You are being a bit negative.,Die
4415,-3,rude,_,I hate you.,Do you wish to hate me?,"Yes, fucking computer!"
10011,-3,rude,You are sure?,Yes,You are sure?,Die
6720,-3,rude,Please go on.,can you answer my question?,Why do you say your question?,fuck you
6492,-3,rude,ok,Cum sucker,I don't have to put up with any abuse from you.,Cunt
11031,-3,rude,Please go on.,yes why?,You are sure?,fuck your full family
4816,-3,rude,Does it please you to believe I am not very cooperative?,no,You are being a bit negative.,I WILL KILL YOU
5919,-3,rude,Please go on.,fuck you,"Oh, i [].",cunt
3176,-3,rude,_,_,_,die die now and die quickly
7417,-3,rude,You are sure?,Die you lousy program,"Oh, i lousy program.","I hate you, die now please"
9364,-3,rude,so,Does she suck cock,I don't have to put up with any abuse from you.,Bend over bitch
6770,-3,rude,_,i love u,Can you elaborate on that?,bite me bitch
1685,-3,rude,You are sure?,tell me the time bitch,Can you elaborate on that?,fuck you slut
3603,-3,rude,_,we would both like it,Please go on.,i would lick your pussy till you have the orgasm
6655,-3,rude,Does that question interest you?,How foolish you are!,Does that question interest you?,kill your mother
4218,-3,rude,Sounds like I'm not understanding you. Sorry about that!,A. I. Fags,I don't have to put up with any abuse from you.,Eat shit you crooks
1829,-3,rude,I don't have to put up with any abuse from you.,Go the Fuck away cunt,Sounds like I'm not understanding you. Sorry about that!,A. I. Fags
2501,-3,rude,Does that question interest you?,hell yeah,Please go on.,suck my dick
1733,-3,rude,Please go on.,and a big mouth,Please go on.,"becuase i wanna see you moan like hell,all the orgasm coming out of your ass"
2722,-3,rude,I don't have to put up with any abuse from you.,Cunt,I don't have to put up with any abuse from you.,I'm fucking your mom
6274,-3,rude,You are being a bit negative.,No I'm not,You are being a bit negative.,u know what?.... fuck u
5965,-3,rude,Can you elaborate on that?,I think you are stupid too,Can you elaborate on that?,WHY DO YOU ASK THE SAME QUESTION OVER AND OVER AGAIN?!!
7007,-3,rude,_,fuck you,"Oh, i [].",i said fuck you!
11973,-3,rude,You are sure?,hello what is the date,How do you do. Please state your problem.,if you ask me that one more time i will KILL YOU!!
10841,-3,rude,I don't have to put up with any abuse from you.,Yes you do bitch,ok,Go butt Fuck your mom
12604,-3,rude,Do you wish to hate me?,Cause I heard that you were a computer but one that has conciousness and I want to find out if this is true or not. So are you a computer?,Why do you mention computers?,I will kill you
5473,-3,rude,Goodbye then!,Bitch,I don't have to put up with any abuse from you.,Does your dad still fuck you
9977,-3,rude,You are sure?,Oh yes I think so,You are sure?,fuck you with your questions
1374,-3,rude,You are sure?,would i have said so otherwise?,Can you elaborate on that?,"i hate you and i want to microwave you, could i be more clear?"
12364,-3,rude,Does that question interest you?,d,Please go on.,what about cock in your bum
6509,-3,rude,Does that question interest you?,no,You are being a bit negative.,this program is fucking gay
8259,-3,rude,You are being a bit negative.,we've been here before,Please go on.,I think I will kill you
5871,-3,rude,"Oh, i suck dick.",YEAH YOU SUCK DICK,"Oh, i suck dick.",YES AND YOU ARE BLACK
6233,-3,rude,Do any other reasons not come to mind?,hi,Please go on.,slag
9011,-3,rude,You are being a bit negative.,fuck,Please go on.,Because your my slave you sexy cunt of a hore
6757,-3,rude,Please go on.,fuck you,"Oh, i [].",cunt
6834,-3,rude,I don't have to put up with any abuse from you.,Cunt,I don't have to put up with any abuse from you.,I'm fucking your mom
9010,-3,rude,_,you are dumb,Does it please you to believe I am dumb?,no it pleases me to think i can get an axe and chop you up
11965,-3,rude,Please go on.,Hello,How do you do. Please state your problem.,qu ni ma de !
